Numéro de dossier,Année budgétaire,Collectivité,Nom Bénéficiaire,Numéro Siret,Objet du dossier,Montant voté,Direction,Nature de la subvention,Secteurs d'activités définies par l'association
2015_00392,2015,Ville de Paris,PM,44674855800062,Aide au projet de diffusion d'un spectacle vivant / DANSE,5000,DAC,Fonctionnement,Culture & Arts;Education & formation;Mémoire
2019_00326,2019,Ville de Paris,PM,44874855800062,Circuits 2019,2000,DAC,Projet,Culture & Arts;Education & formation;Mémoire
2013_05586,2013,Ville de Paris,SOCIÉRÉ LITTÉRAIRE ET ARTISTIQUE DU VIIÈ ARRONDISSEMENT,497936401,fonctionnement,2000,DAC,Fonctionnement,Culture & Arts;Mémoire;Vie et animation locale
2014_06644,2014,Ville de Paris,SOCIÉRÉ LITTÉRAIRE ET ARTISTIQUE DU VIIÈ ARRONDISSEMENT,497936401,fonctionnement,2000,DAC,Fonctionnement,Culture & Arts;Mémoire;Vie et animation locale
2015_07160,2015,Ville de Paris,SOCIÉRÉ LITTÉRAIRE ET ARTISTIQUE DU VIIÈ ARRONDISSEMENT,497936401,fonctionnement,2370,DAC,Fonctionnement,Culture & Arts;Mémoire;Vie et animation locale
2016_06815,2016,Ville de Paris,SOCIÉRÉ LITTÉRAIRE ET ARTISTIQUE DU VIIÈ ARRONDISSEMENT,497936401,bloche m 7,2000,DAC,Fonctionnement,Culture & Arts;Mémoire;Vie et animation locale
2018_01083,2018,Ville de Paris,"CLUBS SPORTIFS, DES LOISIRS, ET CULTURELS DU RÉGIMENT DE CAVALERIE  DE LA GARDE RÉPUBLICAINE ( CSLC-RC-GR)",32669951560002,Financement travaux salle d'armes Garde republicaineHébergement association Gardere,0,DJS,Non précisée,Culture & Arts;Loisirs;Sport
2016_01223,2016,Ville de Paris,ASSOCIATION INTERNATIONALE DES LIBRAIRES FRANCOPHONES,45087292445087,Rencontres interprofessionnelles libraires francophones et acteurs de la chaine du livre franciliens,0,DAC,Non précisée,Culture & Arts;Education & formation;Relations internationales
2015_06859,2015,Ville de Paris,ASSOCIATION INTERNATIONALE DES LIBRAIRES FRANCOPHONES,45087292445087,Rencontres interprofessionnelles autour du livre et de la lecture,0,DAE,Non précisée,Culture & Arts;Education & formation;Relations internationales
2015_06681,2015,Ville de Paris,ASSOCIATION INTERNATIONALE DES LIBRAIRES FRANCOPHONES,45087292445087,Rencontres interprofessionnelles autour du livre et de la lecture,0,DAC,Non précisée,Culture & Arts;Education & formation;Relations internationales
2014_04107,2014,Ville de Paris,ARTEDIEM MILLENIUM,28847701000023,Aide à la production de spectacle vivant pour 30 dates,0,DAC,Non précisée,Culture & Arts
2013_06250,2013,Ville de Paris,ASSOCIATION POUR L'EAU,50904997994999,Projet de formation et d'installation d'équipement de distillation solaire d'eau au Pérou.,0,DPE,Non précisée,Communication & média;Education & formation;Humanitaire
2017_07808,2017,Ville de Paris,SOLIDARITÉ INTERNATIONALE LGBT,81183178700014,Contribution au programme de bourses pour la conférence internationale LGBT de Montréal. Aout 2017,5000,DGRI,Projet,Humanitaire;Précarité & Exclusion;Relations internationales
2017_08085,2017,Ville de Paris,A LIVRE OUVERT,78912345600033,Proposer des formations de français aux migrants dans les centres d'hébergement,0,DDCT,Non précisée,Education & formation;Humanitaire;Précarité & Exclusion
2014_03979,2014,Département de Paris,STRATÉGIES & PROJET PROFESSIONNEL,79889808700011,FONCTIONNEMENT,0,DAE,Non précisée,Economie;Education & formation;Emploi
2014_01727,2014,Département de Paris,COUNSELLING INTERVENTION,390875961,Fonctionnement,0,DASES,Non précisée,Education & formation;Santé;Social
2013_05246,2013,Département de Paris,COUNSELLING INTERVENTION,390875961,aide d'urgence,0,DASES,Non précisée,Education & formation;Santé;Social
2013_00264,2013,Ville de Paris,PROGRAMMES D'AIDE ET DE DÉVELOPPEMENT DESTINÉS AUX ENFANTS DU MONDE,51439790000000,Projet d¿appui à l¿amélioration de l¿accès à l¿eau potable et à l¿assainissement public dans les com,0,DPE,Non précisée,Humanitaire;Précarité & Exclusion;Santé
2015_08337,2016,Ville de Paris,PROGRAMMES D'AIDE ET DE DÉVELOPPEMENT DESTINÉS AUX ENFANTS DU MONDE,51439790000000,Projet eau et assainissement au Kenya,0,DGRI,Non précisée,Humanitaire;Précarité & Exclusion;Santé
2019_04537,2019,Ville de Paris,PROGRAMMES D'AIDE ET DE DÉVELOPPEMENT DESTINÉS AUX ENFANTS DU MONDE,51439790000000,"Accès durable à l¿eau potable et à l¿assainissement pour les communautés de Machacamarca, Bolivie",0,DGRI,Non précisée,Humanitaire;Précarité & Exclusion;Santé
2013_05324,2013,Ville de Paris,L'ARCHANTHROPE,520171836,Aide au projet/diffusion danse,0,DAC,Non précisée,Culture & Arts
2017_07933,2017,Ville de Paris,APIFLORDEV,49328938700010,Label Paris Co-développement Sud 2017,0,DGRI,Non précisée,Environnement & écologie;Humanitaire;Relations internationales
2017_08236,2017,Ville de Paris,APIFLORDEV,49328938700010,Autonomisation des villageois de Fégui par le développement de l¿apiculture,0,DGRI,Non précisée,Environnement & écologie;Humanitaire;Relations internationales
2016_06973,2016,Ville de Paris,TESTDPVI,50355561800018,aaaaa,0,DDCT,Non précisée,Social
2019_09022,2019,Ville de Paris,TEST ASSO DSTI,80967600755555,demande de subvention cbm test 2 envoi accusé reception,0,DDCT,Non précisée,Sport
2019_01471,2019,Ville de Paris,LA CORDEE LES ANCIENS DE LA CP'ENA,84098072500011,Programme de sensibilisation et d'accompagnement de jeunes défavorisés vers les métiers du public,0,DDCT,Non précisée,Education & formation;Emploi;Précarité & Exclusion
2019_05176,2019,Ville de Paris,LA CORDEE LES ANCIENS DE LA CP'ENA,84098072500011,Programme de sensibilisation et d'accompagnement de jeunes défavorisés vers les métiers du public,0,DDCT,Non précisée,Education & formation;Emploi;Précarité & Exclusion
2018_08732,2019,Ville de Paris,LA CORDEE LES ANCIENS DE LA CP'ENA,84098072500011,Programme de sensibilisation et d'accompagnement de jeunes défavorisés vers les métiers du public,0,DAE,Non précisée,Education & formation;Emploi;Précarité & Exclusion
2013_04087,2013,Département de Paris,"L.A.P.L.A.,J.H. DE NATHALIE (LES ACTIVITES PHYSIQUES LUDO AQUATIQUES, JOKER DU HANDICAP DE NATHALIE)",52039471900000,Percussion aquatique pour des personnes en situation de handicap,0,DASES,Non précisée,Education & formation;Loisirs;Santé
2016_05754,2016,Ville de Paris,"ASSOCIATION POUR LA PROTECTION DE L' OLIVIER ET D' AUTRES CULTURES DE CARACTERE AUTOGENETIQUE AINSI QUE LEUR ENVIRONEMENT, LEUR PAYSAGE,LEUR LIAISON AVEC LA SANTE PUBLIQUE ET LE BIENETRE DES HOMMES DANS LE MONDE.(A.O.C.C.A.M)",535179303,ACHAT DE MATERIEL,0,DEVE,Non précisée,Environnement & écologie
2017_01222,2017,Ville de Paris,TEST DDATC- SDVA 2 TEST TEST FORMATION 2,12345677911345,test alerte,0,DDCT,Non précisée,Communication & média;Sport
2019_00296,2019,Ville de Paris,ARTELUDE,92285911000141,"Financement de la reprise et diffusion parisienne de ""Monsieur Loupiote""",0,DAC,Non précisée,Culture & Arts
2019_04747,2019,Ville de Paris,CGPME PARIS ILE-DE-FRANCE,43523442500036,Plan d'action parisien pour l'emploi des publics éloignés de l¿emploi auprès des TPE et des PME,0,DAE,Non précisée,Economie;Emploi;Social
2013_00672,2013,Ville de Paris,COLLECTIF 795,53011948600000,Budget prévisionnel de l'association,0,DAE,Non précisée,Communication & média;Culture & Arts;Loisirs
2014_05127,2014,Département de Paris,"ASSOCIATION POUR LE DEVELOPPEMENT DE LA CHANSON, DU ROCK ET DES MUSIQUES ACTUELLES EN SEINE SAINT-DENIS - CHROMA",41766641500025,Projet d'association au sein d'un collègeCollège S. Mallarmé - Collège J. Ferry (2 classes),0,DASCO,Non précisée,Culture & Arts;Education & formation
2013_06846,2013,Ville de Paris,"ASSOCIATION POUR LE DEVELOPPEMENT DE LA CHANSON, DU ROCK ET DES MUSIQUES ACTUELLES EN SEINE SAINT-DENIS - CHROMA",41766641500025,ARE - Ateliers musicaux,0,DASCO,Non précisée,Culture & Arts;Education & formation
2020_08387,2020,Ville de Paris,"ASSOCIATION POUR LE DEVELOPPEMENT DE LA CHANSON, DU ROCK ET DES MUSIQUES ACTUELLES EN SEINE SAINT-DENIS - CHROMA",41766841500025,"""Le mois d'août de la culture"" François Staal cinq concerts au Buttes Chaumont",0,DAC,Non précisée,Culture & Arts;Education & formation
2020_08256,2020,Ville de Paris,"ASSOCIATION POUR LE DEVELOPPEMENT DE LA CHANSON, DU ROCK ET DES MUSIQUES ACTUELLES EN SEINE SAINT-DENIS - CHROMA",41766841500025,"""Le mois d'août de la culture""",0,DAC,Non précisée,Culture & Arts;Education & formation
2020_08386,2020,Ville de Paris,"ASSOCIATION POUR LE DEVELOPPEMENT DE LA CHANSON, DU ROCK ET DES MUSIQUES ACTUELLES EN SEINE SAINT-DENIS - CHROMA",41766841500025,"""Le mois d'août de la culture""",0,DAC,Non précisée,Culture & Arts;Education & formation
2021_09377,2021,Ville de Paris,"ASSOCIATION POUR LE DEVELOPPEMENT DE LA CHANSON, DU ROCK ET DES MUSIQUES ACTUELLES EN SEINE SAINT-DENIS - CHROMA",41766841500025,"""Je suis la Ville qui se balance"" François Staal & invités Zebrock - Parcs et jardins",0,DAC,Non précisée,Culture & Arts;Education & formation
2015_01375,2015,Département de Paris,À PETIT FEU,41015048600035,FONCTIONNEMENT,0,DASES,Non précisée,Economie;Précarité & Exclusion;Social
2013_05634,2013,Ville de Paris,P.P.DREAM,40532511100023,"Financement du spectacle ""Cupidon"" de Gilbert Peyre au Cirque Electrique-La Dalle en septembre 2013",7000,DAC,Fonctionnement,Culture & Arts
2020_06670,2020,Ville de Paris,DSTI - TEST BPI,12156669900000,La santé pour tous avec Faut qu'ça sorte !,0,DASES,Non précisée,Sport
2020_06696,2020,Ville de Paris,DSTI - TEST BPI,12156669900000,APIE2020 La viticulture moderne face la question écologique,0,DAE,Non précisée,Sport
2013_04709,2013,Ville de Paris,GOSPEL HEARTS,528081599,Echange culturel entre les chorales Gospel Hearts et G2G,0,DAC,Non précisée,Culture & Arts;Loisirs
2017_07194,2017,Ville de Paris,JACKY BANANA,82218741500010,DISPOSITIF D¿AIDEA LA CREATION ET A LA DIFFUSIOND¿ŒUVRE SUR LE TERRITOIRE PARISIENDANS L,0,DAC,Non précisée,Communication & média;Culture & Arts;Vie et animation locale
